Relative Time (s),Velocity (m/s),Average Power ((m/s)^2/Hz),Weighted Frequency (Hz),Dominant Frequency (Hz),Velocity Upper Band,Velocity Lower Band,Moving Average
1.28,-0.20951952695427645,0.0,0.6709632601650869,0.0,0.0,-0.0,-0.01919139723802399
3.52,-0.20951503451086284,1.3435804863515933e-11,0.5430669371621216,0.0,3.721975431038418e-05,2.5059391058370153e-05,-0.01885841808658828
5.76,-0.2095023136803308,6.64102446891847e-10,0.306473551619639,0.0,0.00010717905456173027,6.810527211094128e-05,-0.018118847820807416
8.0,-0.20950553707264163,6.867951772869226e-10,0.7051912463054463,0.0,0.00010316707877147747,5.440904131178373e-05,-0.017868521336321663
10.24,-0.2094076270577534,1.0245578523531936e-08,0.23815982166679622,0.0,0.0005361963022160755,0.00037933017881013205,-0.014815495900664555
12.48,-0.20964176886135544,4.689509333299547e-09,0.48900846322793007,0.0,0.0007395007453303126,0.0007306619100275839,-0.018564995998812894
14.72,-0.20946279998599104,2.839350043942217e-08,0.5109364187846728,0.0,0.0007245679607438022,0.0006727763579914514,-0.01745316950050435
16.96,-0.20957940048045187,3.5163553670153015e-08,0.6132913459269704,0.0,0.0006941963860693122,0.0006926597596746927,-0.018779901894227735
19.2,-0.20932926228753246,6.86182939868036e-07,0.4810696471914888,0.0,0.0009508629382161229,0.0008362110865160978,-0.01569176023248997
21.44,-0.21043312416662696,1.6461485409483645e-06,0.46048368603075596,0.0,0.002811702852791256,0.003268525614720391,-0.029584858326578534
23.68,-0.2104152936720327,4.927543897403171e-07,0.2603441777766362,0.0,0.0033408128054699194,0.0042353723699167425,-0.04071164890079271
25.92,-0.2063847232600362,9.653180165224023e-06,0.5593112250578407,0.0,0.010252951830471552,0.00973692569121772,-0.00019310735904176646
28.16,-0.20722027032979962,2.7014151075911366e-06,0.4496610505406146,0.0,0.011967481946303982,0.010537507953884398,0.024564026483156365
30.4,-0.20899764153640576,8.477928937808781e-06,0.3459523545374036,0.0,0.011591610657881909,0.010061762588434178,0.026964647579827083
32.64,-0.20643988469908103,5.398203502360156e-06,0.3995487578645664,0.0,0.013844664155538804,0.011312293998978717,0.05432258683461777
34.88,-0.21089224237282456,1.35686598213328e-05,0.4509474421762404,0.0,0.013929054655249393,0.012062448954542792,0.037009783290620435
37.12,-0.20639789744309722,1.5427883378703882e-05,0.49084271185505457,0.0,0.015554991177945673,0.012804913509977913,0.060924379163387776
39.36,-0.20657523030366798,1.6397411135515493e-05,0.5897597843357998,0.0,0.01658380790553963,0.01309579164337466,0.08072136640055128
41.6,-0.20690403281201197,3.4763736351730358e-06,0.4802470739454912,0.0,0.01709890977590344,0.013040609404394114,0.09586911427530209
43.84,-0.20393773371559165,1.1848007808125564e-05,0.6769918076069323,0.0,0.02074978499925408,0.015401124746812671,0.13148824645498736
46.08,-0.21433635190530953,2.259432254943192e-05,0.6407576112367575,0.0,0.023481219598093756,0.01976855885082875,0.09031090565754218
48.32,-0.18713090045867264,3.668907019444462e-05,0.3588408037784474,0.0,0.05441054771597736,0.045744708263028615,0.23619182246625625
50.56,-0.20890098325848128,9.860871709837072e-06,0.7004471946754133,0.0,0.053188097472273925,0.044769850496178314,0.22907484377182108
52.8,-0.20781757855449723,7.125226359046199e-05,0.3872941464287873,0.0,0.052124693064493854,0.043677935516374986,0.22924276119637033
55.04,-0.2160453990752388,3.809422132592589e-05,0.476013800239349,0.0,0.052886290444244706,0.046320606491204765,0.1806096711967795
57.28,-0.21193382491899637,1.0281987546088996e-05,0.4221346016325963,0.0,0.0520248690903328,0.046263991137186516,0.15915983320045646
59.52,-0.2155286597716567,6.588365708527874e-05,0.4306056044170706,0.0,0.052216232236442936,0.04797805820065612,0.11956194204589576
