Relative Time (s),Velocity (m/s),Average Power ((m/s)^2/Hz),Weighted Frequency (Hz),Dominant Frequency (Hz)
19.32075471698113,4.292959987836643e-17,2.4721154488249778e-29,0.8230172930145978,0.0
53.132075471698116,-7.067732999884221e-16,3.467971708259112e-27,0.8213321935394121,0.0
86.94339622641509,2.811422521801147e-15,7.609096399928859e-26,0.8002472753829095,0.0
120.75471698113208,1.0015193977713935e-14,6.086816761919997e-25,0.8248993658745719,0.0
154.56603773584905,5.159946390171294e-16,1.8760289755102925e-24,0.842701816585499,0.0
188.37735849056602,3.390978279834473e-14,7.670561171093227e-24,0.8444403427804604,0.0
222.18867924528303,1.7766751778823292e-14,1.5366862816281785e-23,0.8299192214673501,0.0
256.0,-2.488777990708876e-14,5.30387374775526e-23,0.8507253493770245,0.0
289.811320754717,-2.710741129474447e-14,6.326882911184708e-23,0.8573923892985403,0.0
323.62264150943395,5.043425425417145e-14,1.5324065772721855e-22,0.8488155532254605,0.0
357.4339622641509,-9.118124053234233e-14,2.470790928149487e-22,0.8184046670927208,0.0
391.24528301886795,-3.83616150515096e-14,4.594677512727892e-22,0.8505294295840431,0.0
425.0566037735849,-4.031062550043866e-14,3.655385735193859e-22,0.817632591509413,0.0
458.8679245283019,-2.319369851351184e-13,9.013220455073298e-22,0.7992079100645474,0.0
492.6792452830189,3.4550345099414196e-13,1.4683000294140103e-21,0.8552992316686588,0.0
526.4905660377359,-4.916464486124285e-13,1.3933365620607165e-21,0.8470591942758547,0.0
560.3018867924528,6.337241762570659e-13,1.9934381370337756e-21,0.8079387904118146,0.0
594.1132075471698,-7.879161644930075e-13,2.1036861705358988e-21,0.8221677373760312,0.0
627.9245283018868,1.0763778312811197e-12,2.0398247945051926e-21,0.8190769017937797,0.0
661.7358490566038,-4.223018289432207e-13,4.395555341922113e-21,0.8351817810244359,0.0
695.5471698113207,2.527988548399703e-13,4.745072243664983e-21,0.8091257165573168,0.0
729.3584905660377,3.953591704088018e-13,4.431350011305248e-21,0.8111118609646129,0.0
763.1698113207547,-6.601999259774893e-13,7.232409266466771e-21,0.8360910102957595,0.0
796.9811320754717,6.194580238827416e-13,5.4212138153352264e-21,0.8196664099377643,0.0
830.7924528301887,-4.093259224646422e-13,6.763181365870567e-21,0.8415665514284417,0.0
864.6037735849056,8.411549466700178e-13,8.703171084176084e-21,0.820802268384207,0.0
898.4150943396227,-1.3501605756872812e-12,6.03120220485758e-21,0.8138624046658717,0.0
932.2264150943396,-4.740846644759199e-13,1.2019506519699884e-20,0.8620158774227825,0.0
966.0377358490566,-4.321900404885191e-13,1.0783853260775442e-20,0.8410372845258355,0.0
999.8490566037735,9.61248603962454e-13,7.48002792529536e-21,0.8411689987122313,0.0
1033.6603773584907,8.994252802713059e-13,1.2910216282296605e-20,0.8582484088297705,0.0
1067.4716981132076,-1.1680972652026952e-12,1.3717004345606372e-20,0.8593433728927455,0.0
1101.2830188679245,6.89407282238074e-13,1.6868350566918158e-20,0.8590268283113652,0.0
1135.0943396226414,2.1672786090794054e-12,1.9476065283368004e-20,0.8406191160450217,0.0
1168.9056603773586,-2.2017135582303634e-12,2.0194438399839164e-20,0.8408331774504918,0.0
1202.7169811320755,1.1017416600764703e-12,1.8521119182176036e-20,0.8555843023088106,0.0
1236.5283018867924,-1.5619939655176318e-12,1.9606970747421336e-20,0.8247490992351921,0.0
1270.3396226415093,-7.372937289160509e-13,2.091444893402332e-20,0.8628502820209317,0.0
1304.1509433962265,1.890647648432591e-12,1.3910568150098333e-20,0.8096579386725148,0.0
1337.9622641509434,-6.212942388652947e-13,2.021790999225978e-20,0.7815422343686439,0.0
1371.7735849056603,-5.517693257562824e-14,2.5387443775181627e-20,0.8319365172113332,0.0
1405.5849056603774,3.931797256716544e-13,2.7796261355672914e-20,0.836183744892993,0.0
1439.3962264150944,-1.9590010701676923e-12,3.007599697627437e-20,0.8400110227227765,0.0
1473.2075471698113,2.2042350592899577e-13,2.091030052692269e-20,0.8716202889934321,0.0
1507.0188679245282,6.354385640978225e-13,1.9721429441750415e-20,0.8286968008516161,0.0
1540.8301886792453,-1.3602593349347306e-13,2.3431123064892213e-20,0.8364823579302941,0.0
1574.6415094339623,2.0530499557715077e-14,2.812989504496283e-20,0.8448134208734959,0.0
1608.4528301886792,1.1115911356340249e-12,1.660262897743476e-20,0.8306250517219282,0.0
1642.2641509433963,-1.8538169835709076e-12,2.2894031053272714e-20,0.828215757304828,0.0
1676.0754716981132,2.2934163142959974e-12,1.7631619648434842e-20,0.8685058292236453,0.0
1709.8867924528302,6.193668822602891e-14,1.0624799185967672e-20,0.8546102351051708,0.0
1743.698113207547,-2.197694207244623e-12,1.952844116668936e-20,0.8071602042042337,0.0
1777.5094339622642,1.6641851525168917e-12,2.498830916096686e-20,0.8174438334309542,0.0
1811.3207547169811,3.8994749990440126e-13,2.2164420185007788e-20,0.7902926064595952,0.0
1845.132075471698,1.3125641130574413e-12,2.460746672336283e-20,0.8503676656226336,0.0
1878.9433962264152,-2.8523885268641417e-12,1.598642215970818e-20,0.8254935666085722,0.0
1912.754716981132,6.661255799930002e-13,2.507022335426583e-20,0.8187295802190712,0.0
1946.566037735849,-1.7289135155588517e-12,2.8960234049577035e-20,0.8222371415612058,0.0
1980.377358490566,2.185265906150069e-12,3.0514023836764276e-20,0.852732089831502,0.0
2014.188679245283,-3.0820926834132324e-13,2.9690128678912456e-20,0.8440561225543669,0.0
2048.0,-1.4158229833784151e-12,4.802638361374876e-20,0.8558430596158642,0.0
2081.811320754717,3.249362334537662e-12,2.9539589152969397e-20,0.8171333171699365,0.0
2115.622641509434,-3.1831139895302224e-12,1.8190092572428223e-20,0.8352891101510761,0.0
2149.433962264151,2.1282913897883697e-12,2.3910494714000092e-20,0.8628070638249107,0.0
2183.245283018868,8.155024254365672e-13,2.331075067432007e-20,0.8240170603653835,0.0
2217.056603773585,-3.8918523769842306e-12,3.67657651538623e-20,0.8399248834382221,0.0
2250.867924528302,4.482160844785291e-12,2.733350733487523e-20,0.8233507609133844,0.0
2284.6792452830186,-1.3339234195594675e-12,2.4843618861484085e-20,0.8206527319927744,0.0
